R,G,B,label,label_name
216,99,29,1,orange
247,224,214,6,white
216,34,10,2,red
22,48,235,4,blue
255,225,30,0,yellow
135,35,188,3,violet
31,195,5,5,green
14,36,216,4,blue
7,5,9,7,black
240,212,7,0,yellow
30,159,26,5,green
226,211,235,6,white
220,242,216,6,white
208,108,0,1,orange
235,115,3,1,orange
227,210,12,0,yellow
226,246,245,6,white
233,31,26,2,red
26,180,15,5,green
211,245,215,6,white
112,38,208,3,violet
137,5,180,3,violet
3,38,198,4,blue
41,185,51,5,green
232,91,3,1,orange
234,0,19,2,red
123,8,180,3,violet
219,248,246,6,white
215,27,21,2,red
35,183,12,5,green
134,3,220,3,violet
227,218,30,0,yellow
132,23,204,3,violet
24,27,5,7,black
243,223,14,0,yellow
247,249,249,6,white
211,249,227,6,white
255,229,19,0,yellow
19,55,232,4,blue
122,9,221,3,violet
235,121,5,1,orange
202,32,32,2,red
212,93,34,1,orange
37,179,38,5,green
250,106,0,1,orange
233,10,16,2,red
219,108,0,1,orange
240,243,30,0,yellow
25,22,35,7,black
39,53,230,4,blue
228,110,19,1,orange
13,203,15,5,green
42,157,27,5,green
137,36,196,3,violet
229,238,41,0,yellow
32,191,16,5,green
236,106,12,1,orange
108,41,215,3,violet
32,14,22,7,black
38,31,26,7,black
232,125,17,1,orange
220,14,23,2,red
0,184,44,5,green
241,244,21,0,yellow
116,33,219,3,violet
6,85,226,4,blue
44,179,42,5,green
234,30,26,2,red
5,84,211,4,blue
255,196,33,0,yellow
36,7,15,7,black
193,17,39,2,red
205,121,23,1,orange
249,240,9,0,yellow
247,232,16,0,yellow
144,4,221,3,violet
40,184,16,5,green
211,245,235,6,white
213,4,25,2,red
29,12,8,7,black
230,122,30,1,orange
23,9,36,7,black
247,126,0,1,orange
230,0,10,2,red
12,37,25,7,black
253,126,33,1,orange
18,179,36,5,green
255,212,39,0,yellow
235,9,0,2,red
150,4,217,3,violet
28,59,228,4,blue
0,81,186,4,blue
115,0,201,3,violet
15,184,49,5,green
252,87,27,1,orange
235,226,243,6,white
13,40,207,4,blue
15,5,30,7,black
206,118,20,1,orange
118,36,185,3,violet
38,77,204,4,blue
210,241,223,6,white
4,78,225,4,blue
213,0,21,2,red
233,116,0,1,orange
0,63,196,4,blue
246,246,232,6,white
248,219,15,0,yellow
227,28,15,2,red
230,105,8,1,orange
35,32,17,7,black
124,17,181,3,violet
0,70,230,4,blue
25,77,195,4,blue
190,10,0,2,red
10,169,33,5,green
118,42,187,3,violet
193,22,0,2,red
0,159,21,5,green
243,224,212,6,white
206,106,40,1,orange
123,26,180,3,violet
40,199,30,5,green
247,243,227,6,white
244,228,224,6,white
40,193,47,5,green
220,205,10,0,yellow
223,229,245,6,white
19,37,198,4,blue
238,132,0,1,orange
32,48,214,4,blue
198,0,30,2,red
227,221,37,0,yellow
212,111,18,1,orange
